edge_followed_by,edge_follow,username_length,username_has_number,full_name_has_number,full_name_length,is_private,is_joined_recently,has_channel,is_business_account,has_guides,has_external_url,is_fake
0.0,0.52,8,1,0,0,0,1,0,0,0,0,1
0.0,0.288,13,1,0,7,0,0,0,0,0,0,1
0.0,0.116,10,1,0,0,0,1,0,0,0,0,1
0.001,0.595,15,1,1,16,0,0,0,0,0,0,1
0.0,0.037,10,1,0,8,0,1,0,0,0,1,1
0.0,0.498,10,1,0,7,0,0,0,0,0,0,1
0.0,0.236,11,0,0,0,0,0,0,0,0,0,1
0.001,0.16,12,1,0,27,0,0,0,1,0,1,1
0.0,0.283,8,0,0,0,0,0,0,0,0,0,1
0.0,0.379,14,0,0,14,0,0,0,0,0,0,1
0.0,0.414,12,0,0,7,1,1,0,0,0,0,1
0.0,0.914,12,0,0,8,1,0,0,0,0,0,1
0.001,0.486,12,1,0,12,1,0,0,0,0,0,1
0.0,0.498,10,1,0,0,1,1,0,0,0,0,1
0.0,0.77,7,1,0,6,0,1,0,0,0,0,1
0.0,0.641,12,1,0,6,1,1,0,0,0,0,1
0.0,0.101,11,0,1,19,0,0,0,0,0,0,1
0.0,0.41,18,0,0,8,1,1,0,0,0,0,1
0.0,0.135,21,1,0,0,0,1,0,0,0,0,1
0.0,0.494,9,0,0,9,0,0,0,0,0,0,1
0.0,0.305,11,1,0,0,0,0,0,0,0,0,1
0.0,0.065,13,1,0,23,0,0,0,0,0,0,1
0.0,0.33,18,1,0,5,0,1,0,0,0,0,1
0.0,0.291,12,1,0,0,0,0,0,0,0,0,1
0.0,0.428,9,1,0,0,0,0,0,0,0,0,1
0.0,0.981,7,0,0,0,0,0,0,0,0,0,1
0.0,0.417,9,1,1,8,0,1,0,0,0,0,1
0.0,0.089,12,1,0,9,0,1,0,0,0,0,1
0.0,0.136,10,1,1,10,0,0,0,1,0,0,1
0.0,0.468,7,0,0,8,1,0,0,0,0,0,1
0.0,0.199,15,0,0,0,0,0,0,0,0,0,1
0.0,0.063,13,1,0,0,0,1,0,0,0,0,1
0.0,0.147,9,1,0,13,1,0,0,0,0,0,1
0.0,0.163,12,1,0,0,0,1,0,0,0,0,1
0.0,0.781,11,1,0,8,0,0,0,0,0,0,1
0.0,0.335,12,1,0,0,0,0,0,0,0,0,1
0.0,0.762,9,1,0,5,1,0,0,0,0,0,1
0.002,0.356,7,0,0,15,0,1,0,0,0,0,1
0.008,0.748,14,0,0,15,0,0,0,0,0,0,1
0.0,0.127,7,0,0,0,0,1,0,0,0,0,1
0.0,0.424,11,1,1,12,1,1,0,0,0,0,1
0.0,0.135,10,1,0,0,0,0,0,0,0,0,1
0.0,0.184,13,1,1,12,0,1,0,0,0,0,1
0.0,0.472,9,1,1,9,0,0,0,0,0,0,1
0.0,0.604,13,1,0,0,0,0,0,0,0,0,1
0.003,0.608,26,0,0,0,0,0,0,0,0,0,1
0.0,0.326,8,1,0,0,0,1,0,0,0,0,1
0.0,0.549,19,1,0,0,0,0,0,0,0,0,1
0.0,0.262,11,1,1,11,0,1,0,0,0,0,1
0.0,0.226,10,1,0,0,0,1,0,0,0,0,1
0.003,0.633,16,1,1,16,1,0,0,0,0,0,1
0.0,0.405,8,1,0,0,0,1,0,0,0,0,1
0.005,0.307,15,1,0,6,0,0,0,0,0,0,1
0.0,0.031,10,1,0,0,0,1,0,0,0,0,1
0.0,0.408,9,0,1,11,0,0,0,0,0,0,1
0.0,0.288,13,1,0,6,0,0,0,0,0,0,1
0.0,0.258,11,0,0,0,1,0,0,0,0,0,1
0.0,0.385,18,1,0,0,0,1,0,0,0,0,1
0.0,0.11,12,1,1,12,0,1,0,0,0,0,1
0.0,0.497,9,1,1,8,0,1,0,0,0,0,1
0.003,0.839,11,1,0,0,0,0,0,0,0,0,1
0.0,0.556,8,1,0,7,0,0,0,0,0,0,1
0.0,0.122,14,1,0,0,1,0,0,0,0,0,1
0.0,0.372,10,1,0,13,0,1,0,0,0,0,1
0.0,0.16,11,1,0,5,0,1,0,0,0,0,1
0.0,0.255,15,0,0,0,0,1,0,0,0,0,1
0.0,0.612,10,1,0,0,0,0,0,0,0,0,1
0.001,0.125,12,0,0,6,0,0,0,0,0,0,1
0.002,0.3,14,0,0,21,0,0,0,0,0,0,1
0.0,0.286,15,1,0,14,0,1,0,0,0,0,1
0.0,0.121,8,1,1,8,0,0,0,0,0,0,1
0.0,0.328,13,1,0,0,0,0,0,0,0,0,1
0.0,0.919,11,1,0,0,1,0,0,0,0,0,1
0.0,0.391,7,1,0,0,0,1,0,0,0,0,1
0.0,0.467,6,1,0,0,0,1,0,0,0,0,1
0.002,0.557,11,1,0,7,0,0,0,0,0,0,1
0.0,0.516,17,0,0,0,1,0,0,0,0,0,1
0.0,0.477,10,1,0,0,0,1,0,0,0,0,1
0.001,0.129,11,0,0,10,0,1,0,0,0,0,1
0.0,0.421,16,1,0,4,0,1,0,0,0,0,1
0.0,0.055,10,0,0,0,1,1,0,0,0,0,1
0.0,0.113,14,0,0,2,1,1,0,0,0,0,1
0.0,0.557,7,0,0,12,0,1,0,0,0,0,1
0.0,0.651,13,1,1,23,0,0,0,0,0,0,1
0.0,0.645,14,0,0,5,1,0,0,0,0,0,1
0.0,0.073,12,1,1,8,0,1,0,0,0,0,1
0.0,0.129,16,0,0,11,0,0,0,1,0,0,1
0.001,0.332,16,1,1,16,0,1,0,0,0,0,1
0.0,0.994,10,1,0,8,0,0,0,0,0,0,1
0.0,0.787,17,1,0,0,1,1,0,0,0,0,1
0.0,0.101,9,1,0,0,0,1,0,0,0,0,1
0.0,0.808,10,1,0,7,0,0,0,0,0,0,1
0.0,0.433,10,1,1,10,0,0,0,0,0,0,1
0.0,0.778,12,0,0,10,1,0,0,0,0,0,1
0.0,0.127,11,1,0,0,0,1,0,0,0,0,1
0.001,0.085,9,0,0,0,0,1,0,0,0,0,1
0.006,0.667,15,1,0,14,0,0,0,0,0,0,1
0.002,0.454,8,0,0,5,0,0,0,0,0,0,1
0.0,0.641,14,1,1,14,0,0,0,0,0,0,1
0.0,0.068,10,1,0,9,1,0,0,0,0,0,1
0.0,0.421,9,1,0,0,0,0,0,0,0,0,1
0.0,0.43,8,1,0,0,0,1,0,0,0,0,1
0.0,0.247,10,1,0,0,0,0,0,0,0,0,1
0.0,0.817,7,1,0,0,0,0,0,0,0,0,1
0.0,0.802,15,0,0,9,0,0,0,0,0,0,1
0.0,0.628,11,0,0,0,1,1,0,0,0,0,1
0.0,0.909,15,1,0,6,0,0,0,0,0,0,1
0.0,0.224,10,1,0,5,0,0,0,0,0,0,1
0.001,0.361,11,0,0,10,0,0,0,1,0,0,1
0.0,0.41,11,1,0,0,1,0,0,0,0,0,1
0.0,0.964,8,0,0,0,0,1,0,0,0,0,1
0.0,0.266,9,0,1,7,1,1,0,0,0,0,1
0.0,0.095,13,1,0,0,0,0,0,0,0,0,1
0.0,0.543,7,1,0,13,0,0,0,0,0,0,1
0.0,0.641,11,1,0,16,1,1,0,0,0,0,1
0.0,0.823,11,1,0,0,0,0,0,0,0,0,1
0.0,0.13,13,1,0,0,0,1,0,0,0,0,1
0.0,0.143,11,0,0,0,0,0,0,0,0,0,1
0.0,0.639,8,1,0,9,0,0,0,0,0,0,1
0.0,0.742,8,1,1,8,0,0,0,0,0,0,1
0.0,0.502,7,1,1,6,0,1,0,0,0,0,1
0.0,0.148,13,1,0,4,0,1,0,0,0,0,1
0.0,0.13,10,1,0,0,0,1,0,0,0,0,1
0.0,0.077,13,1,0,0,0,1,0,0,0,0,1
0.0,0.233,11,1,0,3,0,0,0,0,0,0,1
0.001,0.279,7,1,0,0,0,0,0,0,0,0,1
0.001,0.327,13,0,0,13,0,0,0,0,0,0,1
0.0,0.573,9,1,0,0,0,1,0,0,0,0,1
0.0,0.518,13,1,0,4,0,0,0,0,0,0,1
0.0,0.448,11,1,1,10,0,0,0,0,0,0,1
0.0,0.313,10,1,0,0,0,0,0,0,0,0,1
0.0,0.059,10,1,0,0,0,1,0,0,0,0,1
0.0,0.777,12,1,0,14,0,1,0,0,0,0,1
0.0,0.338,12,0,0,9,0,0,0,1,0,0,1
0.0,0.225,10,1,0,17,0,1,0,0,0,0,1
0.0,0.982,11,1,0,0,0,1,0,0,0,0,1
0.0,0.94,11,1,0,0,0,1,0,0,0,0,1
0.0,0.651,13,1,0,0,0,0,0,0,0,0,1
0.0,0.423,9,1,1,9,0,0,0,0,0,0,1
0.002,0.642,10,1,0,21,0,0,0,0,0,0,1
0.002,0.579,18,1,0,15,0,0,0,0,0,0,1
0.0,0.393,12,1,0,5,1,0,0,0,0,0,1
0.0,0.711,16,0,0,7,1,1,0,0,0,0,1
0.0,0.97,7,1,1,6,0,1,0,0,0,0,1
0.023,0.997,8,0,0,12,0,0,0,1,0,0,1
0.0,0.779,12,0,0,0,0,1,0,0,0,0,1
0.0,0.337,7,1,0,4,0,0,0,0,0,0,1
0.0,0.125,10,1,0,0,0,0,0,0,0,0,1
0.0,0.981,14,1,0,8,0,0,0,0,0,0,1
0.0,0.652,16,1,0,0,0,1,0,0,0,0,1
0.0,0.992,12,1,0,0,0,1,0,0,0,0,1
0.0,0.652,11,0,0,0,0,0,0,0,0,0,1
0.001,0.321,13,0,0,6,0,0,0,1,0,0,1
0.0,0.299,7,1,0,0,0,0,0,0,0,0,1
0.0,0.049,16,1,0,25,0,1,0,0,0,0,1
0.0,0.991,11,1,0,0,0,0,0,0,0,0,1
0.0,0.062,12,0,0,0,0,1,0,0,0,0,1
0.002,0.386,12,1,1,20,0,0,0,0,0,0,1
0.0,0.291,10,0,0,0,0,0,0,0,0,0,1
0.0,0.698,7,1,0,0,0,0,0,0,0,0,1
0.0,0.063,20,0,1,9,0,1,0,0,0,0,1
0.0,0.302,15,1,0,0,0,0,0,0,0,0,1
0.0,0.759,8,1,0,0,0,1,0,0,0,0,1
0.0,0.151,15,0,0,0,0,1,0,0,0,0,1
0.001,0.554,15,1,0,5,1,0,0,0,0,0,1
0.0,0.242,11,1,0,0,0,1,0,0,0,0,1
0.0,0.7,10,1,1,8,0,0,0,0,0,0,1
0.0,0.212,9,1,1,9,0,1,0,0,0,0,1
0.0,0.215,17,1,0,0,1,1,0,0,0,0,1
0.0,0.086,14,1,0,0,1,1,0,0,0,0,1
0.0,0.242,13,1,0,0,0,1,0,0,0,0,1
0.0,0.102,11,0,0,9,1,0,0,0,0,0,1
0.0,0.681,11,1,0,0,0,0,0,0,0,0,1
0.0,0.851,7,1,1,13,0,0,0,0,0,0,1
0.0,0.742,8,1,0,1,0,0,0,0,0,0,1
0.0,0.64,12,1,0,0,0,0,0,0,0,0,1
0.0,0.201,10,1,0,0,0,0,0,0,0,0,1
0.0,0.08,16,1,0,0,0,1,0,0,0,0,1
0.0,0.507,15,1,0,7,0,0,0,0,0,0,1
0.0,0.04,9,1,0,8,0,1,0,0,0,0,1
0.0,0.088,16,0,0,6,0,0,0,1,0,1,1
0.0,0.137,9,1,1,9,0,1,0,0,0,0,1
0.0,0.062,10,0,0,0,0,1,0,0,0,0,1
0.0,0.973,7,1,0,0,0,0,0,0,0,0,1
0.0,0.158,13,1,0,11,0,1,0,0,0,0,1
0.0,0.767,8,0,0,0,0,0,0,0,0,0,1
0.0,0.94,12,0,0,0,0,1,0,0,0,0,1
0.0,0.619,14,1,0,0,1,0,0,0,0,0,1
0.0,0.559,11,0,0,4,0,1,0,0,0,0,1
0.0,0.949,9,1,0,5,0,0,0,0,0,0,1
0.0,0.515,9,1,0,0,0,1,0,0,0,0,1
0.0,0.123,12,1,0,0,0,1,0,0,0,0,1
0.0,0.393,7,1,0,1,1,1,0,0,0,0,1
0.0,0.544,8,1,0,7,0,0,0,0,0,0,1
0.0,0.222,8,1,0,0,0,0,0,0,0,0,1
0.004,0.336,6,1,0,4,0,0,0,0,0,0,1
0.001,0.921,14,0,0,22,0,0,0,0,0,1,1
0.0,0.142,11,1,0,0,0,1,0,0,0,0,1
0.0,0.124,10,1,0,0,0,1,0,0,0,0,1
0.0,0.095,9,1,0,4,0,0,0,0,0,0,1
0.0,0.915,9,1,0,5,0,0,0,0,0,0,1
0.0,0.317,10,0,0,10,0,0,0,0,0,0,1
0.0,0.19,7,1,0,0,0,0,0,0,0,0,1
0.0,0.372,8,1,0,8,0,0,0,0,0,0,1
0.0,0.052,7,1,0,0,0,1,0,0,0,0,1
0.002,0.807,8,0,0,21,0,0,0,0,0,0,1
0.0,0.957,9,1,0,0,0,1,0,0,0,0,1
0.0,0.465,9,1,0,0,0,0,0,0,0,0,1
0.0,0.064,13,1,0,0,0,1,0,0,0,0,1
0.0,0.615,13,0,0,0,0,1,0,0,0,0,1
0.0,0.258,9,1,0,0,0,0,0,0,0,0,1
0.0,0.97,9,1,0,0,0,0,0,0,0,0,1
0.0,0.499,11,1,1,11,0,0,0,0,0,0,1
0.001,0.12,9,0,0,0,0,0,0,0,0,0,1
0.0,0.954,9,1,0,0,0,1,0,0,0,0,1
0.0,0.041,7,0,0,3,0,1,0,0,0,0,1
0.0,0.584,19,1,0,0,0,0,0,0,0,0,1
0.0,0.188,19,1,0,0,0,0,0,0,0,0,1
0.0,0.273,10,1,0,0,1,1,0,0,0,0,1
0.0,0.033,10,1,0,0,0,1,0,0,0,0,1
0.001,0.318,10,1,0,0,0,1,0,0,0,0,1
0.0,0.99,11,1,0,5,0,1,0,0,0,0,1
0.0,0.195,13,1,0,0,0,1,0,0,0,0,1
0.0,0.809,10,1,0,8,0,0,0,0,0,0,1
0.0,0.468,13,1,0,9,1,1,0,0,0,0,1
0.0,0.376,15,0,0,5,1,1,0,0,0,0,1
0.0,0.38,9,1,0,5,0,1,0,0,0,0,1
0.0,0.5,9,0,0,12,0,0,0,1,0,0,1
0.0,0.315,9,1,0,0,0,0,0,0,0,0,1
0.002,0.225,15,0,0,15,0,0,0,0,0,0,1
0.004,0.57,12,0,0,27,0,0,0,0,0,1,1
0.0,0.606,19,1,0,0,0,0,0,0,0,0,1
0.0,0.087,10,1,0,0,0,0,0,0,0,0,1
0.0,0.455,8,1,0,25,0,0,0,1,0,0,1
0.0,0.074,9,0,0,8,0,0,0,0,0,0,1
0.002,0.425,13,0,0,0,0,1,0,0,0,0,1
0.0,0.619,12,1,0,9,0,0,0,0,0,0,1
0.0,0.328,10,0,0,0,0,1,0,0,0,0,1
0.001,0.229,11,0,0,9,0,1,0,1,0,0,1
0.0,0.58,8,1,0,0,0,0,0,0,0,0,1
0.001,0.117,16,1,0,15,0,0,0,0,0,1,1
0.0,0.098,19,0,0,19,0,0,0,0,0,0,1
0.0,0.891,6,0,0,0,0,1,0,0,0,0,1
0.0,0.999,12,1,0,6,0,0,0,0,0,0,1
0.0,0.965,13,1,1,16,0,0,0,0,0,0,1
0.0,0.991,8,1,0,0,0,0,0,0,0,0,1
0.004,0.249,14,0,0,0,0,0,0,0,0,0,1
0.0,0.244,8,1,0,7,0,1,0,0,0,0,1
0.0,0.652,13,1,0,0,0,1,0,0,0,0,1
0.0,0.977,12,1,1,12,0,1,0,0,0,0,1
0.0,0.555,8,1,0,7,0,0,0,0,0,0,1
0.0,0.259,14,1,0,0,1,1,0,0,0,0,1
0.0,0.287,13,1,0,0,0,1,0,0,0,0,1
0.0,0.18,10,1,0,12,0,1,0,0,0,0,1
0.002,0.11,18,0,0,16,0,0,0,0,0,0,1
0.0,0.423,10,1,0,0,0,1,0,0,0,0,1
0.0,0.063,12,1,0,0,0,1,0,0,0,0,1
0.003,0.256,8,1,0,0,0,1,0,0,0,0,1
0.002,0.675,11,1,0,0,0,0,0,0,0,0,1
0.0,0.511,8,1,0,8,0,0,0,0,0,0,1
0.0,0.687,8,0,0,4,1,0,0,0,0,0,1
0.0,0.218,12,1,0,0,0,0,0,0,0,0,1
0.0,0.513,13,0,0,7,1,1,0,0,0,0,1
0.0,0.032,11,0,0,17,0,1,0,1,0,0,1
0.0,0.218,8,1,0,0,0,1,0,0,0,0,1
0.0,0.803,11,1,0,5,0,0,0,0,0,0,1
0.0,0.172,10,1,0,0,0,0,0,0,0,0,1
0.012,0.098,17,0,0,17,0,0,0,1,0,0,1
0.0,0.79,9,0,0,0,0,1,0,0,0,0,1
0.0,0.973,8,1,0,7,0,0,0,0,0,0,1
0.0,0.345,10,1,0,6,0,0,0,0,0,0,1
0.0,0.68,9,1,0,6,0,0,0,0,0,0,1
0.0,0.244,15,0,0,15,0,0,0,0,0,0,1
0.0,0.642,13,0,0,0,1,0,0,0,0,0,1
0.0,0.581,19,1,0,0,0,0,0,0,0,0,1
0.0,0.355,6,1,0,0,0,0,0,0,0,0,1
0.0,0.12,8,1,0,0,0,1,0,0,0,0,1
0.0,0.678,9,1,0,0,0,1,0,0,0,0,1
0.0,0.564,11,1,0,0,0,0,0,0,0,0,1
0.0,0.322,9,1,0,0,0,0,0,0,0,0,1
0.0,0.324,10,0,0,8,0,0,0,0,0,0,1
0.0,0.501,13,0,0,13,1,1,0,0,0,0,1
0.0,0.118,9,1,0,0,0,0,0,0,0,0,1
0.0,0.201,10,1,0,0,0,1,0,0,0,0,1
0.0,0.511,14,1,0,0,1,0,0,0,0,0,1
0.0,0.656,10,1,0,0,0,0,0,0,0,0,1
0.0,0.39,22,0,0,0,0,0,0,0,0,0,1
0.0,0.031,11,1,0,0,0,1,0,0,0,0,1
0.0,0.094,6,1,0,0,0,0,0,0,0,0,1
0.0,0.248,15,0,0,0,0,0,0,0,0,0,1
0.0,0.402,10,1,0,9,0,0,0,0,0,1,1
0.0,0.125,9,0,0,0,0,0,0,0,0,0,1
0.0,0.421,7,0,0,0,0,0,0,0,0,0,1
0.0,0.703,13,1,0,7,0,0,0,0,0,0,1
0.0,0.89,10,1,0,0,0,1,0,0,0,0,1
0.0,0.982,15,0,0,6,1,0,0,0,0,0,1
0.0,0.708,9,1,1,9,0,1,0,0,0,0,1
0.0,0.144,11,0,0,0,0,0,0,0,0,0,1
0.0,0.057,9,1,0,6,1,0,0,0,0,0,1
0.001,0.363,23,0,0,20,0,0,0,0,0,1,1
0.0,0.154,8,1,0,0,0,0,0,0,0,0,1
0.0,0.116,7,1,0,0,0,1,0,0,0,0,1
0.0,0.387,10,0,0,0,0,0,0,0,0,0,1
0.0,0.87,10,0,0,10,0,1,0,0,0,0,1
0.0,0.225,12,1,0,0,0,0,0,0,0,0,1
0.0,0.376,9,1,0,0,0,0,0,0,0,0,1
0.0,0.962,11,0,0,0,0,0,0,0,0,0,1
0.0,0.348,9,1,1,8,0,0,0,0,0,0,1
0.002,0.244,22,0,0,17,0,1,0,0,0,0,1
0.0,0.094,12,1,0,10,0,1,0,0,0,0,1
0.0,0.834,15,0,0,0,0,0,0,1,0,0,1
0.0,0.409,7,1,0,0,0,1,0,0,0,0,1
0.002,0.362,20,1,0,16,0,0,0,1,0,0,1
0.0,0.663,12,1,0,7,0,0,0,0,0,0,1
0.0,0.927,8,1,1,11,0,0,0,0,0,0,1
0.0,0.996,9,1,0,0,0,1,0,0,0,0,1
0.0,0.303,13,1,0,0,0,0,0,0,0,0,1
0.0,0.853,11,1,1,11,0,0,0,0,0,0,1
0.0,0.128,11,1,0,5,0,1,0,0,0,0,1
0.0,0.643,11,1,0,0,0,0,0,0,0,0,1
0.0,0.287,18,1,1,18,0,0,0,0,0,0,1
0.0,0.062,9,1,0,6,0,1,0,0,0,0,1
0.001,0.356,11,0,0,6,1,1,0,0,0,0,1
0.0,0.343,15,1,0,0,0,1,0,0,0,0,1
0.0,0.471,13,1,0,0,0,0,0,0,0,0,1
0.0,0.07,12,1,0,0,0,1,0,0,0,0,1
0.0,0.249,11,1,0,6,0,0,0,0,0,0,1
0.0,0.024,9,1,0,5,0,1,0,0,0,0,1
0.0,0.442,9,1,0,0,0,0,0,0,0,0,1
0.0,0.35,14,1,0,4,0,0,0,0,0,0,1
0.0,0.015,12,1,0,0,0,1,0,0,0,0,1
0.0,0.843,11,1,0,0,0,1,0,0,0,0,1
0.0,0.602,15,1,1,15,0,0,0,0,0,0,1
0.0,0.88,10,1,0,5,0,1,0,0,0,0,1
0.0,0.583,12,0,0,0,0,0,0,1,0,0,1
0.0,0.841,9,1,0,0,0,0,0,0,0,0,1
0.0,0.619,13,0,0,13,0,0,0,0,0,0,1
0.0,0.094,9,1,0,0,0,1,0,0,0,0,1
0.0,0.891,15,1,1,14,1,0,0,0,0,0,1
0.0,0.536,8,1,0,1,0,1,0,0,0,0,1
0.0,0.172,10,1,0,0,0,1,0,0,0,0,1
0.0,0.403,12,1,0,21,0,1,0,0,0,0,1
0.0,0.366,10,1,0,0,0,0,0,0,0,0,1
0.0,0.035,13,0,0,25,0,0,0,0,0,0,1
0.0,0.798,7,0,0,0,0,1,0,0,0,0,1
0.0,0.296,12,1,0,7,1,0,0,0,0,0,1
0.0,0.08,15,0,0,10,0,1,0,0,0,0,1
0.0,0.246,11,1,0,0,0,0,0,0,0,0,1
0.0,0.088,17,0,0,17,1,1,0,0,0,0,1
0.001,0.588,17,0,0,14,0,0,0,0,0,0,1
0.0,0.165,14,0,0,5,1,0,0,0,0,0,1
0.001,0.81,11,0,0,1,1,0,0,0,0,0,1
0.001,0.324,13,0,0,14,0,1,0,0,0,0,1
0.0,0.864,12,1,1,12,0,0,0,0,0,0,1
0.0,0.639,7,1,0,6,0,0,0,0,0,0,1
0.0,0.976,8,1,0,7,0,0,0,0,0,0,1
0.003,0.736,15,0,0,0,0,0,0,0,0,0,1
0.0,0.109,15,1,0,5,0,0,0,0,0,0,1
0.0,0.138,8,0,0,0,0,1,0,0,0,0,1
0.0,0.188,10,0,0,6,0,0,0,0,0,0,1
0.002,0.065,17,0,0,21,0,0,0,1,0,0,1
0.0,0.366,17,1,0,6,1,1,0,0,0,0,1
0.0,0.057,17,1,0,0,1,1,0,0,0,0,1
0.0,0.942,10,1,0,0,0,0,0,0,0,0,1
0.0,0.822,8,1,0,6,0,0,0,0,0,0,1
0.0,0.071,11,1,0,5,0,0,0,0,0,0,1
0.0,0.063,9,1,0,0,0,1,0,0,0,0,1
0.0,0.252,7,1,0,0,0,0,0,0,0,0,1
0.0,0.145,11,1,0,4,0,0,0,0,0,0,1
0.0,0.113,10,1,0,7,1,0,0,0,0,0,1
0.0,0.998,9,1,1,9,0,0,0,0,0,0,1
0.0,0.184,11,0,0,0,0,0,0,0,0,0,1
0.0,0.063,10,1,0,0,0,1,0,0,0,0,1
0.0,0.093,9,1,0,0,0,1,0,0,0,0,1
0.0,0.247,9,0,0,5,0,1,0,0,0,0,1
0.002,0.199,15,1,0,0,0,0,0,0,0,0,1
0.0,0.925,8,1,0,9,0,0,0,0,0,0,1
0.0,0.481,10,1,1,9,0,1,0,0,0,0,1
0.0,0.956,8,1,0,7,0,0,0,0,0,0,1
0.0,0.352,7,1,0,0,1,0,0,0,0,0,1
0.0,0.159,9,1,0,0,0,1,0,0,0,0,1
0.0,0.39,10,1,0,0,0,0,0,0,0,0,1
0.001,0.113,10,0,0,7,1,0,0,0,0,0,1
0.0,0.094,11,1,1,8,0,1,0,0,0,0,1
0.0,0.434,13,1,1,12,0,1,0,0,0,0,1
0.0,0.075,10,0,0,5,0,1,0,0,0,0,1
0.0,0.476,11,1,1,9,1,1,0,0,0,0,1
0.0,0.101,12,1,0,0,0,1,0,0,0,0,1
0.0,0.993,9,1,0,6,0,0,0,0,0,1,1
0.0,0.961,10,1,0,0,0,0,0,0,0,0,1
0.0,0.201,10,1,0,2,0,1,0,0,0,0,1
0.001,0.146,9,0,0,11,0,1,0,0,0,0,1
0.0,0.142,8,1,0,0,0,0,0,0,0,0,1
0.001,0.091,12,1,0,17,0,0,0,0,0,1,1
0.0,0.835,10,1,0,0,0,0,0,0,0,0,1
0.0,0.173,9,1,0,0,0,1,0,0,0,0,1
0.002,0.309,13,1,0,9,0,0,0,0,0,0,1
0.001,0.661,15,1,0,8,0,0,0,0,0,0,1
0.0,0.571,9,1,0,0,0,1,0,0,0,0,1
0.0,0.201,9,0,0,0,0,0,0,0,0,0,1
0.0,0.167,13,1,0,0,0,0,0,0,0,0,1
0.001,0.38,19,0,0,19,0,0,0,1,0,0,1
0.0,0.342,13,1,0,10,0,1,0,1,0,0,1
